rs10004195	Helicobacter pylori serologic status
rs1893217	Type 1 diabetes
rs1893592	Rheumatoid arthritis
rs1894116	Polycystic ovary syndrome
rs1894292	Prostate cancer
rs1895585	PR interval
rs1896312	PR interval
rs189897	Nasopharyngeal carcinoma
rs1900004	Optic disc parameters
rs1900004	Vertical cup-disc ratio
rs1906953	Osteosarcoma
rs1908039	Intelligence
rs190982	Alzheimers disease (late onset)
rs1910358	Venous thromboembolism (gene x gene interaction)
rs1912826	Metabolite levels
rs1913517	Systemic lupus erythematosus
rs191392302	PR interval in Tripanosoma cruzi seropositivity
rs1918974	Diastolic blood pressure
rs1919128	Waist Circumference - Triglycerides (WC-TG)
rs1923539	Chronic obstructive pulmonary disease-related biomarkers
rs1925690	MRI atrophy measures
rs1926320	Vertical cup-disc ratio
rs1933488	Prostate cancer
rs1936800	HDL cholesterol
rs1936800	Renal function-related traits (BUN)
rs1936800	Triglycerides
rs1937920	Venous thromboembolism (gene x gene interaction)
rs1938492	Fibrinogen
rs1943199	Rheumatoid arthritis (ACPA-negative)
rs1945213	Acute lymphoblastic leukemia (childhood)
rs194749	Inflammatory bowel disease
rs1950500	Height
rs1950897	Rheumatoid arthritis
rs1953126	Celiac disease and Rheumatoid arthritis
rs1956529	Primary tooth development (number of teeth)
rs1957894	Obesity (early onset extreme)
rs1964516	Chronic obstructive pulmonary disease
rs1967017	Urate levels
rs1967256	Response to antipsychotic treatment
rs1970546	Volumetric brain MRI
rs1975197	Restless legs syndrome
rs1976403	Liver enzyme levels (alkaline phosphatase)
rs197770	Phospholipid levels (plasma)
rs1980057	Pulmonary function
rs1980057	Pulmonary function (interaction)
rs1980422	Rheumatoid arthritis
rs1981997	Interstitial lung disease 
rs1983891	Prostate cancer
rs198426	Phospholipid levels (plasma)
rs1985317	Venous thromboembolism (gene x gene interaction)
rs1985671	Temperament (bipolar disorder)
rs1987511	Intelligence
rs198846	Blood pressure
rs198846	Hemoglobin
rs1990760	Immunoglobulin A 
rs1990760	Type 1 diabetes
rs1990760	Type 1 diabetes autoantibodies
rs1991431	Height
rs1991866	Inflammatory bowel disease
rs1991867	White matter microstructure (global fractional anisotropy)
rs1993116	Vitamin D levels
rs1993709	Obesity (early onset extreme)
rs1994016	Coronary heart disease
rs1994090	Parkinsons disease
rs1994969	Primary tooth development (number of teeth)
rs1994969	Primary tooth development (time to first tooth eruption)
rs199515	Parkinsons disease
rs199533	Parkinsons disease
rs1997111	Cerebrospinal T-tau levels
rs1997243	Cholesterol, total
rs1998013	Metabolite levels
rs1998359	Self-reported allergy
rs1998598	Crohns disease
rs1999805	Bone mineral density (spine)
rs1999930	Age-related macular degeneration
rs2000999	Cholesterol, total
rs2000999	Haptoglobin levels
rs2000999	LDL cholesterol
rs200113	Uric acid levels
rs2001945	Triglycerides
rs2002675	Menarche (age at onset)
rs2006996	Inflammatory bowel disease
rs200752	Hypertension
rs200759	Hypertension
rs2009579	Venous thromboembolism (gene x gene interaction)
rs2010099	Serum thyroid peroxidase antibody levels
rs2011503	Bipolar disorder
rs2013208	HDL cholesterol
rs2014300	Esophageal cancer
rs2014355	Metabolite levels
rs2015599	Mean platelet volume
rs2016266	Bone mineral density
rs2016266	Bone mineral density (spine)
rs2016394	Breast cancer
rs2016444	Fractional exhaled nitric oxide (childhood)
rs2019960	Hodgkins lymphoma
rs2019960	Multiple sclerosis
rs2020921	Plasma plasminogen activator levels
rs2022309	End-stage coagulation
rs2023472	Beta-2 microglubulin plasma levels
rs2023634	Metabolic traits
rs2024092	Crohns disease
rs2025151	Height
rs2028299	Type 2 diabetes
rs2028385	Venous thromboembolism (gene x gene interaction)
rs2030114	Blood pressure measurement (high sodium and potassium intervention)
rs2030323	Body mass index
rs2030323	Obesity
rs2030746	LDL cholesterol
rs2032314	Red blood cell traits
rs2034650	Interstitial lung disease 
rs2036527	Smoking behavior
rs2038227	Venous thromboembolism (gene x gene interaction)
rs2038823	Diabetic retinopathy 
rs2040704	IgE levels 
rs204247	Breast cancer
rs2043085	Lipid traits
rs2043085	Metabolic syndrome (bivariate traits)
rs2046045	Thyroid function
rs2046210	Breast Cancer in BRCA1 mutation carriers
rs2046210	Breast cancer
rs2046315	Smooth-surface caries 
rs2048161	Immune reponse to smallpox (secreted IFN-alpha)
rs2048327	Coronary heart disease
rs2049805	Renal function-related traits (BUN)
rs204993	Asthma
rs204999	Nodular sclerosis Hodgkin lymphoma
rs204999	Serum total protein level
rs2051549	Systemic lupus erythematosus
rs20541	Hodgkins lymphoma
rs20541	IgE levels 
rs20541	Psoriasis
rs2056626	Systemic sclerosis
rs2057178	Tuberculosis
rs2057681	Metabolite levels
rs2057681	Paraoxonase activity 
rs2058660	Crohns disease
rs2059807	Polycystic ovary syndrome
rs2060793	Vitamin D levels
rs2062305	Crohns disease
rs2062375	Osteoporosis-related phenotypes
rs2062377	Bone mineral density
rs2062377	Bone mineral density (spine)
rs2066807	Height
rs2066808	Psoriasis
rs2066847	Crohns disease
rs2066938	Metabolic traits
rs2067615	Heart rate
rs2068888	Triglycerides
rs206936	Body mass index
rs2069408	Asthma
rs2070600	Pulmonary function
rs2070600	Pulmonary function (interaction)
rs2070729	Platelet counts
rs2070776	Height
rs2071277	Age-related macular degeneration
rs2071348	Beta thalassemia/hemoglobin E disease
rs2071403	Anti-thyroid peroxidase antibody positivity
rs2071518	Blood pressure
rs2072134	Alcohol consumption
rs2072153	Height
rs2072183	Cholesterol, total
rs2072183	LDL cholesterol
rs2072209	IgG glycosylation
rs2072438	Rheumatoid arthritis
rs2072499	Testicular germ cell tumor
rs2072590	Ovarian cancer
rs2072910	Neutrophil count
rs2073398	Liver enzyme levels (gamma-glutamyl transferase)
rs2073963	Male-pattern baldness
rs2074238	QT interval
rs2074356	Alcohol consumption
rs2074356	Biomedical quantitative traits
rs2074356	Esophageal cancer
rs2074356	Gamma glutamyl transpeptidase
rs2074356	Glycemic traits
rs2074356	HDL cholesterol
rs2074356	Renal function-related traits (BUN)
rs2074488	Chronic obstructive pulmonary disease-related biomarkers
rs2074518	QT interval
rs2075064	Waist circumference
rs2075230	Hormone measurements
rs2075290	HDL Cholesterol - Triglycerides (HDLC-TG)
rs2075290	Metabolic syndrome
rs2075290	Waist Circumference - Triglycerides (WC-TG)
rs2075292	Triglycerides
rs2075555	Breast cancer
rs2075650	Age-related macular degeneration
rs2075650	Alzheimers disease
rs2075650	Alzheimers disease (late onset)
rs2075650	C-reactive protein
rs2075650	Cardiovascular disease risk factors
rs2075650	Cholesterol, total
rs2075650	Cognitive decline
rs2075650	Longevity
rs2075671	Other erythrocyte phenotypes
rs2075672	Red blood cell traits
rs2075799	Complement C3 and C4 levels
rs2075876	Rheumatoid arthritis
rs2076295	Interstitial lung disease 
rs2076530	Sarcoidosis
rs2076756	Crohns disease
rs2076756	Inflammatory bowel disease
rs2077224	Chronic obstructive pulmonary disease-related biomarkers
rs2078267	Urate levels
rs2079742	Urate levels
rs2079795	Height
rs2081687	Cholesterol, total
rs2081687	LDL cholesterol
rs2082412	Psoriasis
rs2083637	HDL cholesterol
rs2083637	Metabolic syndrome
rs2087160	Metabolic traits
rs2089222	Acute lymphoblastic leukemia (childhood)
rs2090409	Menarche (age at onset)
rs2093210	Height
rs2097677	C-reactive protein
rs210134	Mean platelet volume
rs210134	Platelet counts
rs210138	Testicular germ cell tumor
rs210142	Chronic lymphocytic leukemia
rs2101521	Self-reported allergy
rs2102808	Parkinsons disease
rs210359	Immune reponse to smallpox (secreted IFN-alpha)
rs2104286	Multiple sclerosis
rs2105325	Rheumatoid arthritis
rs2106261	Atrial fibrillation
rs2106854	Fibrinogen
rs2107595	Coronary artery disease or large artery stroke
rs2107595	Large artery stroke
rs2107595	Stroke (ischemic)
rs2108622	Acenocoumarol maintenance dosage
rs2108622	Metabolite levels
rs2108622	Vitamin E levels
rs2108622	Warfarin maintenance dose
rs2111485	Inflammatory bowel disease
rs2111485	Vitiligo
rs2112347	Body mass index
rs2112347	Obesity
rs2114039	Corneal curvature
rs2115763	Interleukin-18 levels
rs2116830	Obesity
rs2117032	Bilirubin levels
rs211718	Metabolic traits
rs211718	Metabolite levels
rs2119704	Multiple sclerosis
rs2120019	Blood trace element (Zn levels)
rs2121875	Prostate cancer
rs2123536	Coronary heart disease
rs212388	Crohns disease
rs212388	Crohns disease and celiac disease
rs2124440	Monocyte count
rs2126259	LDL cholesterol
rs2130392	Kawasaki disease
rs2131877	Non-small cell lung cancer
rs2131925	Cholesterol, total
rs2131925	LDL cholesterol
rs2131925	Triglycerides
rs213273	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)
rs2138852	Mean platelet volume
rs2140773	Liver enzyme levels (gamma-glutamyl transferase)
rs2142672	LDL cholesterol
rs2144300	HDL cholesterol
rs2145270	Height
rs2145272	Height
rs2145998	Height
rs2146180	Personality dimensions
rs214782	Basal cell carcinoma 
rs2147896	Urinary metabolites (H-NMR features)
rs2148710	Anger
rs2149085	Crohns disease
rs2149954	Longevity (90 years and older)
rs2150702	Multiple sclerosis
rs2151280	Basal cell carcinoma 
rs2153157	Menarche and menopause (age at onset)
rs2153157	Menopause (age at onset)
rs2153271	Freckling
rs2154319	Height
rs2155219	Allergic rhinitis
rs2155219	Allergic sensitization
rs2155219	IgE grass sensitization
rs2155219	Inflammatory bowel disease
rs2155219	Self-reported allergy
rs2155219	Ulcerative colitis
rs2156552	HDL cholesterol
rs2157719	Glaucoma (primary open-angle)
rs2157719	Glioma
rs2160387	Metabolite levels
rs2160669	Triglycerides
rs216172	Coronary heart disease
rs2164983	Atopic dermatitis
rs2166706	Fasting plasma glucose
rs2168889	Metabolite levels
rs217181	Metabolite levels
rs2176082	Systemic lupus erythematosus and Systemic sclerosis
rs2180341	Breast cancer
rs2180439	Male-pattern baldness
rs2181540	End-stage coagulation
rs218237	Mean corpuscular hemoglobin
rs218237	Mean corpuscular volume
rs218237	Red blood cell count
rs218238	Red blood cell traits
rs2184971	Refractive error
rs2185570	Dehydroepiandrosterone sulphate levels
rs2186369	IgG glycosylation
rs2187668	Autoimmune hepatitis type-1
rs2187668	Celiac disease
rs2187668	Immunoglobulin A 
rs2187668	Nephropathy (idiopathic membranous)
rs2187668	Systemic lupus erythematosus
rs2188962	Crohns disease
rs2188962	Inflammatory bowel disease
rs2191349	Fasting glucose-related traits
rs2191349	Fasting glucose-related traits (interaction with BMI)
rs2192161	Non-word repetition
rs2194025	Retinal arteriolar caliber
rs2197089	Metabolic syndrome (bivariate traits)
rs219780	Kidney stones
rs2200733	Atrial fibrillation
rs2200733	Atrial fibrillation/atrial flutter
rs2200733	Stroke (ischemic)
rs2201841	Psoriasis
rs2201841	Ulcerative colitis
rs2205960	Systemic lupus erythematosus
rs2206277	Obesity
rs2206734	Body mass index
rs2207139	Obesity
rs2207790	Electrocardiographic conduction measures
rs2213169	Hematology traits
rs2213169	Mean corpuscular hemoglobin concentration
rs2216405	Metabolic traits
rs2217560	Pulmonary arterial hypertension (without BMPR2 mutations)
rs2219939	Coronary artery disease or ischemic stroke
rs2224003	Brain connectivity
rs2226284	Hypertension risk in short sleep duration
rs2227564	Inflammatory bowel disease
rs2227631	Plasminogen activator inhibitor type 1 levels (PAI-1)
rs2227831	Mean platelet volume
rs2228145	Rheumatoid arthritis
rs2228671	Cholesterol, total
rs2228671	LDL cholesterol
rs2229116	Carotid atherosclerosis in HIV infection
rs2229882	Breast cancer (early onset)
rs2230061	Fat body mass
rs2230199	Age-related macular degeneration
rs2230199	Age-related macular degeneration (CNV)
rs2230199	Age-related macular degeneration (GA)
rs2230926	Systemic lupus erythematosus
rs2231142	Gout
rs2231142	Serum uric acid levels
rs2231142	Urate levels
rs2231142	Uric acid levels
rs223116	Resting heart rate
rs2231884	Inflammatory bowel disease
rs2233152	Kawasaki disease
rs2233287	Systemic sclerosis
rs2233424	Rheumatoid arthritis
rs2233434	Rheumatoid arthritis
rs2234962	Dilated cardiomyopathy
rs2235302	Soluble levels of adhesion molecules
rs2235529	Endometriosis
rs2235544	Thyroid hormone levels
rs2236007	Breast cancer
rs2236212	Phospholipid levels (plasma)
rs2236256	Chronic lymphocytic leukemia
rs2236313	Vitiligo
rs2236496	Mean corpuscular hemoglobin
rs2236496	Mean corpuscular volume
rs2236496	Red blood cell traits
rs2236653	Liver enzyme levels (alkaline phosphatase)
rs2237886	Height
rs2237892	Type 2 diabetes
rs2237895	Type 2 diabetes
rs2237897	Type 2 diabetes
rs2239547	Schizophrenia
rs2239612	Esophageal cancer (squamous cell)
rs2239633	Acute lymphoblastic leukemia (B-cell precursor)
rs2239785	Glomerulosclerosis
rs2239815	Esophageal cancer (squamous cell)
rs2240335	Rheumatoid arthritis
rs2240466	Triglycerides
rs224136	Crohns disease
rs2241423	Body mass index
rs2241880	Crohns disease
rs2242285	QRS duration
rs2242420	Hematological and biochemical traits
rs2242652	Prostate cancer
rs224278	Ewing sarcoma
rs2242944	Ankylosing spondylitis
rs224333	Height
rs2244608	Urate levels
rs2247056	Height
rs2247056	Triglycerides
rs2247341	Height
rs2248359	Multiple sclerosis
rs2248462	Hodgkins lymphoma
rs2250417	Inflammatory biomarkers
rs2250417	Protein quantitative trait loci
rs2251219	Major mood disorders
rs225132	Ischemic stroke
rs2251468	Homocysteine levels
rs2251746	IgE levels 
rs2251844	Tumor biomarkers
rs2252586	Glioma
rs2253017	PR segment
rs2254287	LDL cholesterol
rs2254546	Kawasaki disease
rs2254546	Systemic lupus erythematosus
rs2255141	Cholesterol, total
rs2255141	LDL cholesterol
rs2255280	Pancreatic cancer
rs225717	Retinal vascular caliber
rs2259816	C-reactive protein
rs2261033	Ulcerative colitis
rs2261181	Type 2 diabetes
rs2266788	HDL Cholesterol - Triglycerides (HDLC-TG)
rs2266788	Metabolic syndrome
rs2266788	Triglycerides-Blood Pressure (TG-BP)
rs2266788	Waist Circumference - Triglycerides (WC-TG)
rs2266928	Mean corpuscular hemoglobin concentration
rs2266959	Inflammatory bowel disease
rs2268118	Immune reponse to smallpox (secreted IL-2)
rs2268361	Polycystic ovary syndrome
rs2268363	Erectile dysfunction and prostate cancer treatment
rs2271293	HDL cholesterol
rs227163	Rheumatoid arthritis
rs2271893	Bipolar disorder
rs2272007	Multiple myeloma (hyperdiploidy)
rs2272046	Polycystic ovary syndrome
rs2272205	Immune reponse to smallpox (secreted IFN-alpha)
rs2273061	Bone mineral density
rs2273359	Response to diuretic therapy in hypertension
rs2273669	Prostate cancer
rs2274223	Esophageal cancer
rs227425	Bone mineral density
rs2274273	Protein biomarker
rs2274316	Migraine
rs2274432	Height
rs2274910	Crohns disease
rs2275247	Systemic lupus erythematosus and Systemic sclerosis
rs2275565	Homocysteine levels
rs2275606	Leprosy
rs227584	Bone mineral density
rs2277027	Pulmonary function
rs2277027	Pulmonary function (interaction)
rs227724	Height
rs227731	Orofacial clefts
rs2277339	Menopause (age at onset)
rs2277862	Cholesterol, total
rs2278426	HDL cholesterol
rs2279008	Height
rs2279434	Mean corpuscular hemoglobin
rs2279434	Mean corpuscular volume
rs2279463	Chronic kidney disease
rs2279590	Alzheimers disease
rs2280018	Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)
rs2280018	Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)
rs2280401	Hematological and biochemical traits
rs2280401	Metabolite levels
rs2280401	Serum albumin level
rs2280401	Serum total protein level
rs2280470	Height
rs2280543	Uterine fibroids
rs2281135	Liver enzyme levels
rs2281388	Graves disease
rs2281680	Sudden cardiac arrest
rs2281808	Type 1 diabetes
rs2281845	Permanent tooth development
rs2282015	Venous thromboembolism (gene x gene interaction)
rs2282679	Vitamin D insufficiency
rs2282679	Vitamin D levels
rs2282978	Height
rs2283792	Multiple sclerosis
rs2283873	Wilms tumor
rs2284033	Asthma
rs2284063	Cutaneous nevi
rs2284063	Melanoma
rs2284378	Breast cancer
rs2284553	Crohns disease
rs2284746	Height
rs2284746	Pulmonary function
rs2284746	Pulmonary function (interaction)
rs2285803	Multiple myeloma
rs2285947	Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)
rs2286276	Triglycerides
rs2286503	Fibrinogen
rs2286963	Metabolite levels
rs2287019	Body mass index
rs2287623	Cholesterol, total
rs228769	Bone mineral density (hip)
rs2287921	Retinal vascular caliber
rs2287921	Urinary metabolites (H-NMR features)
rs2288073	Venous thromboembolism (gene x gene interaction)
rs2288884	Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)
rs2289252	Activated partial thromboplastin time
rs2290159	Cholesterol, total
rs2290400	Type 1 diabetes
rs2290547	HDL cholesterol
rs2292096	Epilepsy
rs2292239	Type 1 diabetes
rs2292239	Type 1 diabetes autoantibodies
rs2292884	Prostate cancer
rs2292982	Chronic lymphocytic leukemia
rs2293152	Multiple sclerosis
rs2293370	Multiple sclerosis
rs2293370	Primary biliary cirrhosis
rs2293579	Serum albumin level
rs2293889	HDL cholesterol
